key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id,LLM_Result,LLM_Notes,LLM_Reasoning,Benedetta_Result,Agreement
rayyan-196420120,Femoropopliteal Drug-coated Balloon Angioplasty: Long-term Results of the Randomized EffPac Trial.,2022.0,7.0,,Radiology,1527-1315 (Electronic),304.0,1.0,225-227,Teichgräber U and Lehmann T and Aschenbach R and Thieme M and Zeller T and Beschorner U and Scheinert D,https://pubmed.ncbi.nlm.nih.gov/35315720/,eng,,United States,,"RAYYAN-INCLUSION: {""Benedetta""=>""Included""}",10.1148/radiol.212622,"*Angioplasty, Balloon/methods;Coated Materials, Biocompatible;Femoral Artery/diagnostic imaging;Humans;Paclitaxel;*Peripheral Arterial Disease/diagnostic imaging/surgery;Treatment Outcome;Vascular Patency",35315720.0,,Excluded,"Abstract is missing (""nan"") so no content available to assess inclusion/exclusion criteria.","The following criteria were checked: 1. RCT design (abstract unavailable), 2. DCB vs POBA comparison (abstract unavailable), 3. Femoropopliteal lesions (abstract unavailable).",Included,Disagree
rayyan-196420121,Intravascular Lithotripsy for Peripheral Artery Calcification: 30-Day Outcomes From the Randomized Disrupt PAD III Trial.,2021.0,6.0,28.0,JACC. Cardiovascular interventions,1876-7605 (Electronic),14.0,12.0,1352-1361,Tepe G and Brodmann M and Werner M and Bachinsky W and Holden A and Zeller T and Mangalmurti S and Nolte-Ernsting C and Bertolet B and Scheinert D and Gray WA,https://pubmed.ncbi.nlm.nih.gov/34167675/,eng,,United States,"OBJECTIVES: The study sought to compare short-term outcomes in patients with femoropopliteal artery calcification receiving vessel preparation with intravascular lithotripsy (IVL) or percutaneous transluminal angioplasty (PTA) prior to drug-coated balloon (DCB) for symptomatic peripheral artery disease. BACKGROUND: Endovascular treatment of calcified peripheral artery lesions is associated with suboptimal vessel expansion and increased complication risk. Although initial results from single-arm studies with IVL have been reported, comparative evidence from randomized trials is lacking for most devices in the presence of heavy calcification. METHODS: The Disrupt PAD III (Shockwave Medical Peripheral Lithoplasty System Study for PAD) randomized trial enrolled patients with moderate or severe calcification in a femoropopliteal artery who underwent vessel preparation with IVL or PTA prior to DCB or stenting. The primary endpoint was core lab-adjudicated procedural success (residual stenosis ≤30% without flow-limiting dissection) prior to DCB or stenting. RESULTS: In patients receiving IVL (n = 153) or PTA (n = 153), procedural success was greater in the IVL group (65.8% vs. 50.4%; p = 0.01) and the percentage of lesions with residual stenosis ≤30% (66.4% vs. 51.9%; p = 0.02) was greater in the IVL group, while flow-limiting dissections occurred more frequently in the PTA group (1.4% vs. 6.8%; p = 0.03). Post-dilatation (5.2% vs. 17.0%; p = 0.001) and stent placement (4.6% vs. 18.3%; p < 0.001) were also greater in the PTA group. The rates of major adverse events (IVL: 0% vs. PTA: 1.3%; p = 0.16) and clinically driven target lesion revascularization (IVL: 0.7% vs. PTA: 0.7%; p = 1.0) at 30 days were comparable between groups. CONCLUSIONS: IVL is an effective vessel preparation strategy that facilitates definitive endovascular treatment in calcified femoropopliteal arteries in patients with peripheral artery disease. (Shockwave Medical Peripheral Lithoplasty System Study for PAD [Disrupt PAD III]; NCT02923193).","RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong drug,wrong study design | USER-NOTES: {""Benedetta""=>["" IVL or PTA prior to DCB or stenting""]}",10.1016/j.jcin.2021.04.010,"*Angioplasty, Balloon/adverse effects;Coated Materials, Biocompatible;Femoral Artery/diagnostic imaging;Humans;*Lithotripsy/adverse effects;*Peripheral Arterial Disease/diagnostic imaging/therapy;Popliteal Artery/diagnostic imaging;Prospective Studies;Treatment Outcome;*Vascular Calcification/diagnostic imaging/therapy;Vascular Patency",34167675.0,,Excluded,"The study compares IVL vs PTA prior to DCB, not DCB vs POBA directly. The explicit comparison required is missing here.","The following criteria were checked: 1. RCT design (met), 2. DCB vs POBA comparison (not met as study compares IVL vs PTA prior to DCB/stenting), 3. Femoropopliteal lesions (met). Exclusion criteria triggered due to lack of explicit DCB vs POBA comparison.",Excluded,Agree
rayyan-196420122,Drug-coated balloon versus standard percutaneous transluminal angioplasty for the treatment of superficial femoral and popliteal peripheral artery disease: 12-month results from the IN.PACT SFA randomized trial.,2015.0,2.0,3.0,Circulation,1524-4539 (Electronic),131.0,5.0,495-502,Tepe G and Laird J and Schneider P and Brodmann M and Krishnan P and Micari A and Metzger C and Scheinert D and Zeller T and Cohen DJ and Snead DB and Alexander B and Landini M and Jaff MR,https://pubmed.ncbi.nlm.nih.gov/25472980/,eng,,United States,"BACKGROUND: Drug-coated balloons (DCBs) have shown promise in improving the outcomes for patients with peripheral artery disease. We compared a paclitaxel-coated balloon with percutaneous transluminal angioplasty (PTA) for the treatment of symptomatic superficial femoral and popliteal artery disease. METHODS AND RESULTS: The IN.PACT SFA Trial is a prospective, multicenter, single-blinded, randomized trial in which 331 patients with intermittent claudication or ischemic rest pain attributable to superficial femoral and popliteal peripheral artery disease were randomly assigned in a 2:1 ratio to treatment with DCB or PTA. The primary efficacy end point was primary patency, defined as freedom from restenosis or clinically driven target lesion revascularization at 12 months. Baseline characteristics were similar between the 2 groups. Mean lesion length and the percentage of total occlusions for the DCB and PTA arms were 8.94 ± 4.89 and 8.81 ± 5.12 cm (P=0.82) and 25.8% and 19.5% (P=0.22), respectively. DCB resulted in higher primary patency versus PTA (82.2% versus 52.4%; P<0.001). The rate of clinically driven target lesion revascularization was 2.4% in the DCB arm in comparison with 20.6% in the PTA arm (P<0.001). There was a low rate of vessel thrombosis in both arms (1.4% after DCB and 3.7% after PTA [P=0.10]). There were no device- or procedure-related deaths and no major amputations. CONCLUSIONS: In this prospective, multicenter, randomized trial, DCB was superior to PTA and had a favorable safety profile for the treatment of patients with symptomatic femoropopliteal peripheral artery disease. CLINICAL TRIAL REGISTRATION URL: http://www.clinicaltrials.gov. Unique Identifiers: NCT01175850 and NCT01566461.","RAYYAN-INCLUSION: {""Benedetta""=>""Included""}",10.1161/CIRCULATIONAHA.114.011004,"Aged;Angioplasty/*methods/*trends;Angioplasty, Balloon/methods/trends;Female;*Femoral Artery/pathology;Humans;Internationality;Male;Middle Aged;Peripheral Arterial Disease/diagnosis/*therapy;*Popliteal Artery/pathology;Prospective Studies;Single-Blind Method;Time Factors;Treatment Outcome;Vascular Access Devices/*trends",25472980.0,PMC4323569,Included,"Meets all inclusion criteria: RCT design, explicit DCB vs POBA (PTA) comparison, and strictly femoropopliteal lesions.","The following criteria were checked: 1. Study design: The trial is described as a prospective, multicenter, single-blinded, randomized trial. 2. Intervention: Compares drug-coated balloons (DCB) vs percutaneous transluminal angioplasty (PTA, equivalent to POBA). 3. Population: Focuses on patients with symptomatic superficial femoral and popliteal artery disease (femoropopliteal lesions), with no mention of below-the-knee involvement. Exclusion criteria (observational/non-randomized design, missing comparison) are not applicable.",Included,Agree
rayyan-196420123,Drug-coated balloons: Technical and clinical progress.,2020.0,12.0,,"Vascular medicine (London, England)",1477-0377 (Electronic),25.0,6.0,577-587,Ang H and Koppara TR and Cassese S and Ng J and Joner M and Foin N,https://pubmed.ncbi.nlm.nih.gov/32634046/,eng,,England,"The advancement of drug-coated balloons (DCB) presents an alternative nonstent method in the percutaneous treatment of atherosclerotic lesions. While the current generation of drug-eluting stents (DES) are the device of choice, especially in coronary artery disease (CAD), DCB has potential applications in the treatment of de novo lesions, in-stent restenosis (ISR), bifurcations, and in peripheral artery disease (PAD). In terms of coronary clinical experience, DCB is used most in ISR scenarios and more data are collected to support the use of DCB in de novo lesions compared to best-in-class DES. The use of DCB in bifurcation side branch treatment has demonstrated safety, and with good angiographic and clinical outcomes, but more data from randomized trials will be required to assess its clinical value. For PAD, the clinical outcomes of DCB with and without debulking devices in diseased femoropopliteal arteries and treatment of below-the-knee (BTK) vessels with DCB are discussed. Current data demonstrated conflicting long-term safety outcomes in the use of paclitaxel devices in the femoral and/or popliteal arteries, while the role of DCB in BTK disease remains uncertain due to a lack of randomized controlled trial data. In summary, this review provides an overall view of current DCB technologies and progress, followed by an update on DCB clinical data in the treatment of CAD and PAD.","RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong publication type | USER-NOTES: {""Benedetta""=>[""review""]}",10.1177/1358863X20927791,"Angioplasty, Balloon/adverse effects/*instrumentation;Angioplasty, Balloon, Coronary/instrumentation;Cardiac Catheters;Cardiovascular Agents/adverse effects/*therapeutic use;*Coated Materials, Biocompatible;Coronary Artery Disease/diagnostic imaging/*therapy;Equipment Design;Humans;Peripheral Arterial Disease/diagnostic imaging/*therapy;Treatment Outcome;*Vascular Access Devices",32634046.0,,Excluded,Non-RCT review discussing general DCB applications across multiple anatomies rather than reporting a specific trial comparing DCB vs POBA in femoropopliteal lesions.,"The following criteria were checked: 1. Study design is a review/article discussing clinical data rather than an RCT, 2. Mentions DCB vs POBA in femoropopliteal arteries but does not explicitly describe a direct comparison study, 3. Mentions both femoropopliteal and below-the-knee (BTK) contexts.",Excluded,Agree
rayyan-196420124,Two-year Review on Mortality and Morbidity after Femoropopliteal Drug-coated Balloon Angioplasty in the Randomized EffPac Trial.,2020.0,9.0,,Radiology,1527-1315 (Electronic),296.0,3.0,638-640,Teichgräber U and Lehmann T and Aschenbach R and Thieme M and Zeller T and Beschorner U and Scheinert D,https://pubmed.ncbi.nlm.nih.gov/32692299/,eng,,United States,,"RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong publication type | USER-NOTES: {""Benedetta""=>[""review""]}",10.1148/radiol.2020201370,"*Angioplasty, Balloon/adverse effects/mortality/statistics & numerical data;Antineoplastic Agents, Phytogenic/administration & dosage/adverse           effects/therapeutic use;*Drug-Eluting Stents/adverse effects/statistics & numerical data;Femoral Artery/*surgery;Humans;Morbidity;Paclitaxel/administration & dosage/adverse effects/therapeutic use;*Peripheral Arterial Disease/drug therapy/epidemiology/mortality/surgery;Popliteal Artery/*surgery;Randomized Controlled Trials as Topic",32692299.0,,Excluded,"Abstract is empty/invalid (""nan"") and lacks all required elements to assess study design, comparison group, or population.","The following criteria were checked: 1. Presence of RCT design (abstract empty), 2. Explicit DCB vs POBA comparison (missing), 3. Femoropopliteal population specification (missing). Abstract contains only ""nan"" indicating incomplete or invalid content.",Excluded,Agree
rayyan-196420125,Intravascular ultrasound-guided drug-coated balloon angioplasty for femoropopliteal artery disease: a clinical trial.,2024.0,8.0,16.0,European heart journal,1522-9645 (Electronic),45.0,31.0,2839-2847,Ko YG and Lee SJ and Ahn CM and Lee SH and Lee YJ and Kim BK and Hong MK and Jang Y and Kim TH and Park HW and Jang JY and Lee JH and Park JH and Kim SH and Im E and Park SH and Choi D,https://pubmed.ncbi.nlm.nih.gov/38966936/,eng,,England,"BACKGROUND AND AIMS: Drug-coated balloons (DCBs) have demonstrated favourable outcomes following endovascular therapy for femoropopliteal artery (FPA) disease. However, uncertainty remains whether the use of intravascular ultrasound (IVUS) can improve the outcomes of DCBs. METHODS: This prospective, multicentre, randomized trial, conducted at seven centres in South Korea, compared the outcomes of IVUS-guided vs. angiography-guided angioplasty for treating FPA disease with DCBs. Patients were assigned to receive IVUS-guided (n = 119) or angiography-guided (n = 118) angioplasty using DCBs. The primary endpoint was 12-month primary patency. RESULTS: Between May 2016 and August 2022, 237 patients were enrolled and 204 (86.0%) completed the trial (median follow-up; 363 days). The IVUS guidance group showed significantly higher primary patency [83.8% vs. 70.1%; cumulative difference 19.6% (95% confidence interval 6.8 to 32.3); P = .01] and increased freedom from clinically driven target lesion revascularization [92.4% vs. 83.0%; difference 11.6% (95% confidence interval 3.1 to 20.1); P = .02], sustained clinical improvement (89.1% vs. 76.3%, P = .01), and haemodynamic improvement (82.4% vs. 66.9%, P = .01) at 12 months compared with the angiography guidance group. The IVUS group utilized larger balloon diameters and pressures for pre-dilation, more frequent post-dilation, and higher pressures for post-dilation, resulting in a greater post-procedural minimum lumen diameter (3.90 ± 0.59 vs. 3.71 ± 0.73 mm, P = .03). CONCLUSIONS: Intravascular ultrasound guidance significantly improved the outcomes of DCBs for FPA disease in terms of primary patency, freedom from clinically driven target lesion revascularization, and sustained clinical and haemodynamic improvement at 12 months. These benefits may be attributed to IVUS-guided optimization of the lesion before and after DCB treatment.","RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | USER-NOTES: {""Benedetta""=>[""IVUS-guided (n = 119) or angiography-guided (n = 118) angioplasty using DCBs""]}",10.1093/eurheartj/ehae372,"Aged;Female;Humans;Male;Middle Aged;Angiography;*Angioplasty, Balloon/methods;Coated Materials, Biocompatible;*Femoral Artery/diagnostic imaging;*Peripheral Arterial Disease/therapy/diagnostic imaging;*Popliteal Artery/diagnostic imaging;Prospective Studies;Treatment Outcome;Ultrasonography, Interventional/methods;Vascular Patency",38966936.0,,Excluded,"The abstract's methods clearly state both groups use DCBs, so the comparison isn't between DCB and POBA. That's the main reason for exclusion.","The following criteria were checked: 1. RCT design (yes), 2. DCB vs POBA comparison (no; both groups used DCBs), 3. Femoropopliteal lesions (yes).",Excluded,Agree
rayyan-196420126,"Clinical Randomized Trial Evaluating Novel, Microcrystalline, and Biocompatible Polymer Paclitaxel-Coated Balloon for the Treatment of Femoropopliteal Occlusive Disease: The BIOPAC Trial.",2018.0,12.0,10.0,JACC. Cardiovascular interventions,1876-7605 (Electronic),11.0,23.0,2436-2438,Buszman PP and Nowakowski P and Milewski K and Orlik B and Żurakowski A and Ludyga T and Polczyk F and Dębiński M and Jelonek M and Kachel M and Gąsior M and Granada JF and Kiesz RS and Buszman PE,https://pubmed.ncbi.nlm.nih.gov/30522679/,eng,,United States,,"RAYYAN-INCLUSION: {""Benedetta""=>""Included""} | RAYYAN-EXCLUSION-REASONS: wrong publication type",10.1016/j.jcin.2018.07.029,"Aged;Angioplasty, Balloon/adverse effects/*instrumentation;Cardiovascular Agents/*administration & dosage/adverse effects;*Coated Materials, Biocompatible;Constriction, Pathologic;Female;*Femoral Artery/diagnostic imaging/physiopathology;Humans;Male;Middle Aged;Paclitaxel/*administration & dosage/adverse effects;Peripheral Arterial Disease/diagnostic imaging/physiopathology/*therapy;Poland;*Popliteal Artery/diagnostic imaging/physiopathology;Prospective Studies;Single-Blind Method;Time Factors;Treatment Outcome;*Vascular Access Devices;Vascular Patency",30522679.0,,Excluded,"Abstract is unavailable (""nan"") - cannot verify any inclusion criteria.","The following criteria were checked: 1. Presence of abstract content, 2. RCT design, 3. DCB vs POBA comparison, 4. Femoropopliteal population. No abstract text available for analysis.",Included,Disagree
rayyan-196420127,Drug coated balloon angioplasty in the treatment of peripheral artery disease.,2016.0,6.0,,Expert review of medical devices,1745-2422 (Electronic),13.0,6.0,569-82,Colleran R and Harada Y and Cassese S and Byrne RA,https://pubmed.ncbi.nlm.nih.gov/27152654/,eng,,England,"INTRODUCTION: Conventional therapies for transcatheter treatment of patients with obstructive peripheral artery disease of the lower limb remain compromised by high restenosis rates. Drug-coated balloons (DCB) offer a novel therapeutic alternative for such patients, providing local delivery of antirestenotic drug to the vessel wall, targeting the source of neo-intimal hyperplasia, without the need for a permanent endovascular mechanical scaffold and their inherent limitations. AREAS COVERED: In this article, we present an up-to-date review of the clinical trial literature relating to DCB therapy of infrainguinal obstructive peripheral artery disease as well as a summary of ongoing trials and future directions. Expert commentary: At present, convincing data exists to support the use of DCB in femoropopliteal disease but the role of DCB in the treatment of tibialpedal disease remains less well defined. More randomized data are needed to clarify this, including comparative effectiveness studies against treatment modalities other than PTA, as well as evaluation of their role in combination with adjunctive therapies.","RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong publication type | USER-NOTES: {""Benedetta""=>[""review""]}",10.1080/17434440.2016.1184969,"Angioplasty, Balloon/*instrumentation/*methods;Clinical Trials as Topic;*Drug-Eluting Stents;Humans;Peripheral Arterial Disease/physiopathology/*surgery",27152654.0,,Excluded,"Abstract is a review article discussing existing trials rather than reporting an RCT; includes non-femoropopliteal lesions (e.g., ""tibialpedal disease"").","The following criteria were checked: 1. Study design is a review of clinical trials, not an RCT itself. 2. Abstract discusses DCB vs POBA comparisons in literature but does not report a direct trial. 3. Mentions femoropopliteal lesions but also includes tibialpedal disease in scope. Exclusion criteria met due to non-RCT design and mixed lesion types.",Excluded,Agree
rayyan-196420128,Randomized Trial Comparing a Stent-Avoiding With a Stent-Preferred Strategy in Complex Femoropopliteal Lesions.,2024.0,5.0,13.0,JACC. Cardiovascular interventions,1876-7605 (Electronic),17.0,9.0,1134-1144,Wittig T and Schmidt A and Fuß T and Thieme M and Maiwald L and Düsing S and Konert M and Fischer A and Scheinert D and Steiner S,https://pubmed.ncbi.nlm.nih.gov/38749594/,eng,,United States,"BACKGROUND: Limited comparative data exist on different interventional strategies for endovascular revascularization of complex femoropopliteal interventions. OBJECTIVES: In this study, the authors aimed to compare a stent-avoiding (SA) vs a stent-preferred (SP) strategy, promoting optimal lesion preparation and the use of drug-eluting technologies in both arms. METHODS: Within a prospective, multicenter, pilot study, 120 patients with symptomatic complex femoropopliteal lesions (Rutherford classification 2-4, mean lesion length 187.7 ± 78.3 mm, 79.2% total occlusions) were randomly assigned in a 1:1 fashion to endovascular treatment with either paclitaxel-coated balloons or polymer-coated, paclitaxel-eluting stents. Lesion preparation including the use of devices for plaque modification and/or removal was at the operators' discretion in both treatment arms. RESULTS: In the SA group, lesion preparation was more frequently performed (71.7% SA [43/60] vs 51.7% [31/60] SP; P = 0.038) with a high provisional stenting rate (48.3% [29/60]). At the 12-month follow-up, primary patency was 78.2% (43/55) in the SA group and 78.6% (44/56) in the SP group (P = 1.0; relative risk: 0.995; 95% CI: 0.818-1.210). Freedom from major adverse events was determined in 93.1% (54/58) in the SA group and in 94.9% (56/59) in the SP group (P = 0.717; relative risk: 0.981; 95% CI: 0.895-1.075), with all adverse events attributable to clinically driven target lesion revascularization. CONCLUSIONS: Both endovascular strategies promoting lesion preparation before the use of drug-eluting devices suggest promising efficacy and safety results in complex femoropopliteal procedures with a high proportion of total occlusions through 12 months. Ongoing follow-up will show whether different results emerge over time. (Best Endovascular Strategy for Complex Lesions of the Superficial Femoral Artery [BEST-SFA]; NCT03776799).","RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong study design | USER-NOTES: {""Benedetta""=>[""wrong control group: endovascular treatment with either paclitaxel-coated balloons or polymer-coated, paclitaxel-eluting stents""]}",10.1016/j.jcin.2024.03.015,"Aged;Aged, 80 and over;Female;Humans;Male;Middle Aged;Angioplasty, Balloon/instrumentation/adverse effects;*Cardiovascular Agents/administration & dosage/adverse effects;*Coated Materials, Biocompatible;*Drug-Eluting Stents;*Femoral Artery/diagnostic imaging/physiopathology;Paclitaxel/administration & dosage;*Peripheral Arterial Disease/therapy/diagnostic imaging/physiopathology;Pilot Projects;*Popliteal Artery/diagnostic imaging/physiopathology;Prospective Studies;Prosthesis Design;Risk Factors;Time Factors;Treatment Outcome;Vascular Access Devices;Vascular Patency",38749594.0,,Excluded,"The study compares DCB to stents, not DCB vs POBA, so it doesn't meet inclusion criteria.","The following criteria were checked: 1. RCT design (yes, prospective randomized), 2. DCB vs POBA comparison (no, compares DCB vs paclitaxel-eluting stents), 3. Femoropopliteal lesions (yes).",Excluded,Agree
rayyan-196420129,Drug-coated balloon for treatment of non-atherosclerotic renal artery stenosis-a multi-center study.,2023.0,10.0,16.0,BMC cardiovascular disorders,1471-2261 (Electronic),23.0,1.0,510,Song X and Fu Y and Lai Z and Di X and Zeng R and Shao J and Ni L and Liu Z and Song X and Ye W and Liu C and Liu B and Zheng Y and Chen Y,https://pubmed.ncbi.nlm.nih.gov/37845604/,eng,,England,"INTRODUCTION: Renal artery stenosis (RAS) is a significant reason for secondary hypertension. Impaired renal function and subsequent cardiopulmonary dysfunction could also occur. Patients of non-atherosclerotic RAS has a relatively young age and long life expectancy. Revascularization with percutaneous transluminal angioplasty (PTA) is a viable treatment option. However, restenosis is unavoidable which limits its use. Drug-coated balloon (DCB) has been proven to be effective in restenosis prevention in femoropopliteal arterial diseases and in patients with renal artery stenosis. And PTA for Renal artery fibromuscular dysplasia is safe and clinically successful. Therefore, we could speculate that DCB might have potential efficacy in non-atherosclerotic RAS treatment. METHODS AND ANALYSIS: This will be a randomized multi-center-controlled trial. Eighty-four eligible participants will be assigned randomly in a 1:1 ratio to the control group (plain old balloon, POB) and the experimental group (DCB). Subjects in the former group will receive balloon dilatation alone, and in the latter group will undergo the DCB angioplasty. The DCB used in this study will be a paclitaxel-coated balloon (Orchid, Acotec Scientific Holdings Limited, Beijing, China). Follow-up visits will be scheduled 1, 3, 6, 9, and 12 months after the intervention. Primary outcomes will include controlled blood pressure and primary patency in the 9-month follow-up. Secondary outcomes will include technical success rate, complication rate, and bail-out stenting rate. TRIAL REGISTRATION: ClinicalTrials.gov (number NCT05858190). Protocol version V.4 (3 May 2023).","RAYYAN-INCLUSION: {""Benedetta""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: wrong population",10.1186/s12872-023-03484-5,"Humans;*Angioplasty, Balloon/adverse effects;Coated Materials, Biocompatible;Femoral Artery;Paclitaxel/adverse effects;*Peripheral Arterial Disease/diagnostic imaging/therapy;Popliteal Artery;Prospective Studies;*Renal Artery Obstruction/diagnostic imaging/etiology/therapy;Time Factors;Treatment Outcome;Vascular Patency;Randomized Controlled Trials as Topic;Multicenter Studies as Topic",37845604.0,PMC10577992,Excluded,"Population involves renal artery lesions, not femoropopliteal lesions. ""This will be a randomized multi-center-controlled trial... in patients with renal artery stenosis.""","The following criteria were checked: 1. RCT design (met), 2. DCB vs POBA comparison (met), 3. Femoropopliteal lesions (not met - study focuses on renal artery stenosis).",Excluded,Agree
